seed,variant,parameters,packed_bytes,validation_cross_entropy,validation_perplexity,validation_accuracy,expected_loops,actual_loops,tokens_per_second,stability_halt_rate,training_seconds
19,s4_symmetric_narrow,3100065,1233120,0.8581148928455543,2.3587100788359376,0.7303029438612506,6.0,6,5729.292810364743,0.0,678.5423263000002
19,u4_zero_positive,3100065,1233120,0.8173086269975851,2.2643972913653267,0.7421554084892743,6.0,6,6691.527258201022,0.0,590.6145126990004
23,s4_symmetric_narrow,3100065,1233120,0.8326908178603687,2.2994979531297925,0.7378052259242355,6.0,6,6462.0792475644375,0.0,614.3979606339999
23,u4_zero_positive,3100065,1233120,0.8602941966611791,2.3638560299695013,0.7316436558649019,6.0,6,6626.461744497083,0.0,567.0238781110002
