seed,variant,parameters,packed_bytes,validation_cross_entropy,validation_perplexity,validation_accuracy,expected_loops,actual_loops,tokens_per_second,stability_halt_rate,training_seconds
19,q3_level_shared_capacity,3100065,1233120,0.8273599007422388,2.2872721364894013,0.7385825536284801,6.0,6,9562.355431080412,0.0,382.95908605099976
23,q3_level_shared_capacity,3100065,1233120,0.8494344491057612,2.33832403665162,0.7325065609310817,6.0,6,8938.097952846529,0.0,385.39852172500014
29,q3_level_shared_capacity,3100065,1233120,0.8632260304724773,2.3707966323780316,0.7265446713829302,6.0,6,8752.117733854117,0.0,381.21795755899984
19,q4_level_shared_capacity,3100065,1233120,0.8178836220968048,2.2656996831091,0.7426546097672295,6.0,6,8206.99477995571,0.0,439.45863182300036
23,q4_level_shared_capacity,3100065,1233120,0.810048964729814,2.24801805757846,0.7447583865814696,6.0,6,7968.763336070471,0.0,435.0022771370004
29,q4_level_shared_capacity,3100065,1233120,0.8294101947521522,2.291966527646436,0.739659402099498,6.0,6,8097.865737671501,0.0,435.1050182220006
19,q5_level_shared_capacity,3100065,1606284,0.7613237773594057,2.1411086965158477,0.7605688041989959,6.0,6,8332.45310071413,0.0,426.91777062599976
23,q5_level_shared_capacity,3100065,1606284,0.7839053083042857,2.1900082442176867,0.7516758900045641,6.0,6,7785.087368463479,0.0,442.71611213899996
29,q5_level_shared_capacity,3100065,1606284,0.8008185138119133,2.2273633102019725,0.7462132017343679,6.0,6,4949.410309194947,0.0,946.1577655230001
