seed,variant,parameters,packed_bytes,validation_cross_entropy,validation_perplexity,validation_accuracy,expected_loops,actual_loops,tokens_per_second,stability_halt_rate,training_seconds
23,j_adaptive_stability_halt,84482,103196,2.4413982776135192,11.489094459985498,0.329180454130534,2.8872807025909424,6,50175.55770101353,0.7384755809616763,26.59658509199994
23,k_quality_combo,90561,127512,2.410894140594357,11.143920923758762,0.3362477179370151,6.0,6,48223.927012729946,0.0,28.150960810000015
23,l_quality_combo_stability_halt,90561,127512,2.4130692928145323,11.168187029767221,0.33579843678685534,4.016430854797363,6,60200.18868155862,0.9999999788415153,28.580633981999654
29,full_untied_fixed,308544,1234176,2.3804731712881044,10.810016643488648,0.34290135782747605,6.0,6,70960.32673231224,0.0,19.259796845999972
29,a_memory_v2_fixed,84417,102936,2.427087300664918,11.325845208313424,0.33253223413966226,6.0,6,49974.62256490714,0.0,27.15558797099993
29,b_loop_conditioning,85185,106008,2.420556772250337,11.252122440685094,0.3352635782747604,6.0,6,48505.92981013795,0.0,28.203690842000015
29,c_low_rank_adapters,90561,127512,2.4270005881215058,11.324863158047771,0.33321685303514376,6.0,6,43783.07696499285,0.0,28.315994535999835
29,d_chunk_memory,84417,102936,2.421538862666274,11.263178470414829,0.33374458010041075,6.0,6,46269.756753711554,0.0,32.28045575899978
29,e_progressive_supervision,84417,102936,2.4270021725005617,11.324881100937983,0.33351637380191695,6.0,6,51481.1298456132,0.0,26.91390647199978
29,f_staged_memory,84417,102936,2.4159379329707513,11.200270535568004,0.3323040278411684,6.0,6,53597.99532947256,0.0,25.326996028000394
29,g_gradual_ternarization,84417,102936,2.410450624146455,11.138979507415668,0.3347358512094934,6.0,6,48154.159685054445,0.0,26.70135865400016
29,h_teacher_distillation,84417,102936,2.4248652682354437,11.300706752544592,0.33182622090369696,6.0,6,50363.37217560625,0.0,33.100150492999546
29,i_prediction_stability_halt,84417,102936,2.4243356695136,11.294723497194552,0.33035714285714285,5.062528610229492,6,44478.18513971787,0.9999999776482582,27.39024745400002
29,j_adaptive_stability_halt,84482,103196,2.4466113408696755,11.549144221771938,0.322526814240073,2.741318702697754,6,53100.05253532517,0.9931538258679211,28.031215246999636
29,k_quality_combo,90561,127512,2.406243975877435,11.09222015757519,0.3390218507530808,6.0,6,48346.49493254393,0.0,28.53026915800001
29,l_quality_combo_stability_halt,90561,127512,2.411856412343487,11.154649565144627,0.3355773619351894,4.011410236358643,6,62562.14568450088,0.9999999993306119,28.961308077000012
