levels,cross_entropy_mean,cross_entropy_sd,perplexity_mean,perplexity_sd,accuracy_mean,accuracy_sd,tokens_per_second_mean,tokens_per_second_sd,train_seconds_mean,train_seconds_sd,packed_bytes,seed_19_cross_entropy,seed_23_cross_entropy,seed_29_cross_entropy
3,0.8501264207097977,0.02362647416472357,2.3403765185147596,0.05499586631920856,0.7331198653582839,0.008909049681125653,9160.78485213547,143.23255840947985,399.408,2.056,1233120,0.823532751737148,0.8581513618563257,0.8686951485359196
4,0.8347231484649208,0.01185836976682435,2.304283896192859,0.027265498568238452,0.7370421611136467,0.00440974327926619,7571.749392510593,67.5328,480.421,22.885,1233120,0.8216259306503289,0.8378122635270732,0.8447312512173603
5,0.7842982425802868,0.0258652983185082,2.1913551541070895,0.05625811820883516,0.7516925300471626,0.009751017732568312,7569.264107558854,215.1148,482.571,4.653,1606284,0.7544899252330479,0.7975862886958991,0.8008185138119133
